Crime, Location, Date

LARCENY,200 JEANETTE LANCASTER WAY,11-01-12

BREAKING AND ENTERING, FAYERWEATHER HALL,11-01-12

TRAFFIC ACCIDENT, University Ave,11-01-12

ASSIST CITIZEN, 80 ENGINEERING WAY,11-01-12

NARCOTIC VIOLATION,KENT DORM,11-01-12

BREAKING AND ENTERING, 180 MCCORMICK RD,11-01-12

SUSPICIOUS CIRCUMSTANCE,Scott Stadium,11-01-12

LARCENY, Newcomb Hall,11-01-12

D.I.P. , UVA West Complex,11-01-12

SUSPICIOUS PERSON , Kent Dorms,11-01-12

DIP , 1309 W. Main St,11-04-12

VANDALISM , 434 Lannigan Field,11-04-12

ASSIST AGENCY ,,11-04-12

ASSIST AGENCY , 100 Block 15th Street,11-05-12

TRAFFIC ACCIDENT , East Lot University Hall,11-05-12

annoying phone calls , 2304 Ivy Road,11-05-12

SAFE KEEPING , 1619 University Ave,11-05-12

LOST PROPERTY , New Cabell Hall,11-05-12

VANDALISM , 200 Emmett Street,11-06-12

ASSAULT , UVA Hospital,11-05-12

LOST PROPERTY , UVA Hospital West,11-06-12

PROPERTY DAMAGE , Jordon Hall,11-06-12

ASSAULT - INTIMIDATION , New Cabell Hall,11-06-12

FOUND PROPERTY , UVA Hospital,11-06-12

LOST PROPERTY , Johnson House,11-07-12

LARCENY , UVA Hospital Link,11-07-12

LARCENY , 1215 Lee Street,11-07-12

ASSAULT , UVA Primary Care Center,11-07-12

ASSIST CITIZEN MEDICAL, 914 Emmet Street,11-07-12

ASSIST OTHER AGENCY, 1215 Lee St,11-07-12

ANNOYING PHONE CALLS , Primary Care,11-07-12

WEAPONS OFFENSE, 1515 University Avenue,11-07-12

SUSPICIOUS CIRCUMSTANCES , Wyburn dorm,11-07-12

SIMPLE ASSUALT, Hospital,11-07-12

DIP , Carrs Hill Road,11-07-12

ASSAULT, 1826 University Avenue,11-07-12

ASSIST CITIZEN MEDICAL,1215 Lee Street,11-07-12

B &amp; E , Bonnycastle Dorm,11-07-12

SUSPICIOUS CIRCUMSTANCE, Balz Dobi Dorm,11-07-12

ASSIST CITIZEN MEDICAL, 175 Malone House,11-07-12

POSSESSION OF MARIJUANA, East Lawn,11-07-12

MOTOR VEHICLE THEFT, 291 McCormick Road,11-07-12

B &amp; E,UVA Hospital,11-07-12

B &amp; E ,Physics Building,11-07-12

LOST PROPERTY , AFC parking lot,11-07-12

FRAUD, Seymour Road,11-07-12

MOTOR VEHICLE THEFT , 5 West lawn Garden,11-14-12

MOTOR VEHICLE ACCIDENT , 109 Culbreth Rd   NO PI,11-14-12

LARCENY OTHER , 585 McCormick Rd,11-14-12

ASSIST CITIZEN-MEDICAL , Massie Rd,11-14-12

D.I.P. , 295 Massie Rd,11-14-12

D.I.P. , 295 Massie Rd,11-14-12

D.I.P. , Alderman/McCormick Rd,11-14-12

LARCENY , Lee Street,11-15-12

MEDICAL ASSIST , West Pavilion,11-15-12

D. I. P. , Stadium Road,11-15-12

LARCENY , MR-6 Building,11-15-12

LIQUOR LAW VIOLATION , Scott Stadium North Gate,11-15-12

MEDICAL ASSIST , Stadium Road,11-16-12

D.I.P. , Scott Stadium North Gate,11-15-12

BREAKING &amp; ENTERING , East Lawn,11-16-12

D.I.P. , Whitehead &amp; Stadium Road,11-16-12

SUSPICIOUS CIRCUMSTANCE, Dunnington Dorm,11-16-12

ASSAULT on LAW ENFORCEMENT , University Avenue,11-17-18

DISORDERLY CONDUCT , University Avenue,11-17-12

PROPERTY LOST , Culbreth Road,11-17-12

TRESPASS , University Avenue,11-17-12

ASSAULT SIMPLE , University Avenue,11-18-12

B &amp; E , Jordan Hall,11-19-12

FOUND PROPERTY , Monroe Hall,11-19-12

LARCENY , Battle Building,11-19-12

LARCENY , Battle Building,11-19-12

AUTO THEFT , Hospital Drive Parking Lot,11-19-12

LARCENY , Bavaro Hall,11-19-12

DIP ,  218 15th Street,11-20-12

VANDALISM , Culbreth Garage,11-20-12

TRAFFIC ACCIDENT , Central Grounds Parking Garage  NO PI,11-20-12

FOUND PROPERTY , Nau Hall,11-20-12

DIP , 1215 Lee Street,11-20-12

ASSAULT-SIMPLE , 1215 Lee Street,11-20-12

FOUND PROPERTY , 145 McCormick Road,11-21-12

VEHICLE ACCIDENT , Lee Street,11-21-12

VANDALISM , Dillard Dorm,11-21-12

SIMPLE ASSAULT , 1215 Lee Street,11-21-12

BREAKING &amp; ENTERING , McCormick Road,11-23-12

TRESPASSING , McCormick Road,11-23-12

BREAKING &amp; ENTERING , 1222 Jefferson Park Avenue (Blake Center),11-24-12

DRUG VIOLATION, Ivy Road,11-24-12

SUSPICIOUS CIRCUMSTANCES , Old Medical School,11-26-12

LOST PROPERTY, 1215 Lee Street,11-26-12

BREAKING AND ENTERING, McLeod Hall,11-26-12

BREAKING AND ENTERING, Law School,11-26-12

LOST PROPERTY, Alderman Road,11-26-12

SUSPICIOUS PERSON , Clark Hall,11-28-12

FOUND PROPERTY , UVA Police Department,11-28-12

BURGLARY , Battle Building,11-28-12

SUSPICIOUS PERSON , Clark Hall,11-28-12

LARCENY , Charles Brown Library,11-28-12

LARCENY , Old Medical School,11-28-12

SUSPICIOUS PERSON , 21 Hospital Drive,11-29-12

ASSIST CITIZEN-MEDICAL , 201 Sprigg Lane,11-29-12

LARCENY , 1215 Lee Street,11-29-12

LARCENY , 1335 Lee Street,11-29-12

PROPERTY DAMAGE , 1335 Lee Street,11-29-12

BREAKING &amp; ENTERING ,Bavaro Hall,11-29-12

PROPERTY DAMAGE , 1900 Stadium Road,11-30-12

UNLAWFUL ENTRY , Pavilion 7,11-30-12

PROPERTY LOST , 234B Bavaro Hall,11-30-12

AUTOMOBILE ACCIDENT , 2009 Stadium Road,11-30-12

LOST PROPERTY , UVA Hospital Primary Care,11-30-12

VANDALISM , 145 McCormick,

LARCENY, Alderman Library                                                               201201386/68,

DUI , University Ave &amp; McCormick Rd,

MEDICAL ASSIST , 450 McCormick Rd,12-02-12

SUSPICIOUS CIRCUMSTANCES , Alderman &amp; McCormick Rd,12-02-12

MEDICAL ASSIST , 460 Dillard,12-02-12

SUSPICIOUS PERSONS , Bonnycastle Dorm,12-02-12

BURGLARY , Old Cabell Hall,12-02-12

LARCENY , South Lawn,12-03-12

ASSIST CITIZEN , 795 Alderman Road,12-03-12

LARCENY , 265 Hereford Drive,12-03-12

OBSCENE SEXUAL DISPLAY , 155 Rugby Road,12-03-12

HIT &amp; RUN , 1315 Lee Street,12-03-12

ACCIDENT, 156 Engineers Way,12-03-12

LARCENY, Culbreth Garage,12-03-12

LARCENY, 1335 Lee Street    Hospital Multistory Building,12-03-12

EMBEZZLEMENT , School of Engineering &amp; Applied Sciences,12-05-12

BREAKING &amp; ENTERING , 1224 JPA  Blake Center,12-05-12

ASSIST CITIZEN , Fitzhugh Dorm,12-05-12

LARCENY , West Range,12-05-12

DRUNK IN PUBLIC , 1215 Lee Street,12-05-12

SUSPICIOUS CIRCUMSTANCES, Dunglison,12-05-12

DUI, JPA,12-05-12

ASSIST AGENCY, Lee St.,12-05-12

ASSIST AGENCY, Lee St.,12-05-12

FRUAD , Monroe lane,12-05-12

BURGLARY, Randall Hall,12-05-12

LARCENY, Hospital West Urology Clinic,12-05-12

FORGERY , Cocke Hall,12-07-12

ASSIST CITIZEN , Slaughter Recreation Center,12-07-12

FOUND PROPERTY , UVA Police Department,12-07-12

MEDICAL ASSIST , 511 Kellogg Dorm,12-08-12

LARCENY , Alderman Library 4th floor,12-08-12

LARCENY , Old Cabell Hall Room,12-08-12

D.I.P. , 1200 block of Lee Street,12-08-12

FIRE-NOT ARSON , 1215 Lee Street,12-09-12

ASSIST CITIZEN MEDICAL , 101 Hospital Drive,12-10-12

BREAKING &amp; ENTERING , 21 Hospital Drive,12-10-12

LARCENY , Newcomb Hall,12-10-12

LARCENY , 485 McCormick Road,12-10-12

LARCENY , 160 McCormick Road,12-11-12

ASSIST OTHER AGENCY , 1215 Lee Street,12-11-12

B &amp; E , Clark Hall,12/10/12

TRESPASS , 1340 Jefferson Park Avenue,12-12-12

LARCENY , Hunter Smith Band Building,12-12-12

D.I P. , 1215 Lee Street,12-12-12

ASSIST CITIZEN , 579 McCormick Road,12-13-12

LARCENY , Robertson Hall,12-13-12

LARCENY , Alderman Library,12-13-12

HIT &amp; RUN , George Welsh Way,12-13-12

SUSPICIOUS CIRCUMSTANCES , Newcomb Hall,12-14-12

PROPERTY DAMAGE , 1200 Lee Street,12-14-12

COUNTERFEITING , AFC,12-14-12

LARCENY , Newcomb Hall,12-14-12

BREAKING &amp; ENTERING , Thornton Hall,12-14-12

ASSIST CITIZEN , West Lawn,12-14-12

ASSIST AGENCY , 1215 Lee Street,12-14-12

DIP/ESCAPE CUSTODY , 200 Massie Road,12-14-12

HIT &amp; RUN , 295 Massie Rd.,12-15-12

E.C.O. , 160 McCormick Rd.,12-15-12

MEDICAL ASSIST , 126 McGuffey Dorm,12-15-12

DRUG VIOLATATION , 295 Massie Rd. JPJ Arena,12-15-12

DIP , 295 Massie Rd. / JPJ Arena,12-15-12

DIP,295 Massie Rd.,12-15-12

TRESPASS , 200 McCormick Rd,12-16-12

LARCENY, 295 Massie Road,12-16-12

LARCENY , Clemons Library,12-16-12

FOUND PROPERTY , 382 McCormick Road,12-17-12

FOUND PROPERTY , 480 Floyd Drive,12-17-12

THREATING CALLS , Primary Care Center,12-17-12

BURGLARY , Kerchof Hall,12-17-12

WARRANT SERVICE , 1215 Lee Street,12-18-12

SUSPICIOUS INCIDENT , 1826 University Avenue,12-19-12

TRESPASS , 115 Ruppel Drive,12-19-12

SAFE KEEPING , 1215 Lee Street,12-19-12

FOUND PROPERTY , University of Virginia Police Headquarters,12-19-12

VEHICLE ACCIDENT , University Avenue,12-19-12

SIMPLE ASSAULT, Alderman Road,12-19-12

TRESPASSING, University Avenue,12-19-12

VEHICLE ACCIDENT, West Scott Stadium,12-20-12

DUI , Ivy Road,12-21-12

LOST PROPERTY , 400 Emmet Street,12-20-12

LOST PROPERTY , 1340 Jefferson Park Avenue,12-21-12

LARCENY FROM BUILDING , 382 McCormick Road,12-21-12

ASSIST AGENCY ," UVA Hospital, 6 East",12-21-12

ASSIST CITIZEN , Lower Hereford Bus Stop,12-21-12

DIP , 1215 Lee Street,12-23-12

DUI , 1700 Jefferson Park Avenue,12-23-12

ELUDING POLICE , 800 West Main Street,12-23-12

ASSIST AGENCY , 1215 Lee Street,12-23-12

DIP , 1215 Lee Street,12-23-12

LOST PROPERTY , 80 Engineers Way,12-24-12

BURGLARY , 1221 Lee St      Primary Care,12-26-12

DUI , North Emmet Street,12-27-12

SIMPLE ASSAULT , 11th St Garage,12-27-12

DIP, 600 Massie Road,12-27-12

DUI , 900 Block W Main St,12-28-12

PROPERTY LOST , 1215 Lee Street UVA Hospital 2nd Fl.,12-28-12

DIP/TREPASS , 1989 University Ave Carrs Hill Field,12-28-12

TRESPASS , 1215 Lee St,12-28-12

SUSPICIOUS CIRCUMSTANCE , 1215 Lee Street,12-30-12

DISORDERLY CONDUCT , 1200 Wertland Street,01-01-13

DRUNK IN PUBLIC , 1200 Wertland Street,01-01-13

DRUNK IN PUBLIC , 17th Street NW &amp; Grady Avenue,01-01-13

FOUND PROPERTY , Alderman Road &amp; Stadium Road,01-01-13

WARRANT SERVICE , 180 McCormick Road,01-03-13

DUI , 2100 Blk. Angus Rd.,01-03-13

PUBLIC INTOXICATION , 1215 Lee St,01-05-13

TRAFFIC STOP , JPA &amp; Emmet Street,01-06-13

DUI , Ivy &amp; Rothery Road,01-06-13

MISSING ADULT , 295 Massie Road,01-06-13

BURGLARY:,409 McCormick Road   Chemistry Building,6 1-7-13

PROPERTY DAMAGE:,575 Alderman Road,01-07-13

FOUND PROPERTY:,1215 Lee Street,01-07-13

ASSIST AGENCY , 450 Whitehead Road,01-07-13

ASSIST CITIZEN , Farrish Circle,01-07-13

LARCENY , 673 Alderman Road,01-07-13

DIP , 145 McCormick Road,01-09-13

TRAFFIC ACCIDENT , Parking and Transportation,01-09-13

DISORDERLY PERSON , 180 McCormick Road,01-09-13

LARCENY , Medical Center,01-10-13

TRESPASS , Lambeth Commons,01-10-13

B &amp; E , 21 Hospital Drive   Medical School Building,01-10-13

BREAKING &amp; ENTERING , Lewis Dorm,01-10-13

SUSPICIOUS PERSON , UVA Hospital 1st Floor,01-10-13

TRAFFIC ACCIDENT , Lee Street Parking Garage,01-11-13

BREAKING &amp; ENTERING , UVA Hospital West,01-11-13

TRESPASSING , 409 McCormick Road,01-11-13

LARCENY , UVA Hospital,01-11-13

LIQUOR LAW VIOLATION, 245 Hereford Dr,01-12-13

TRESPASSING , Emmet Street,01-12-13

SWINDLE , UVA Hospital E.D.,-13 2227

ASSIST AGENCY , 5 East UVA Hospital,01-15-13

LARCENY , 64 Lambeth Commons,01-15-13

LARCENY , North Grounds Construction Site,01-16-13

THREATENING PHONE CALL , UVA Hospital,01-17-13

LARCENY , 11th Street Parking Garage,01-17-13

THREATENING PHONE CALL , 561 McCormick Road,01-17-13

LARCENY , 1221 Lee Street,01-17-13

ASSIST CITIZEN , 2504 Stadium Road,01-18-13

ANIMAL BITE , Brooks Hall,01-18-13

FOUND PROPERTY , 248 McCormick Rd,01-19-13

PROPERTY DAMAGE , South Parking Garage,01-19-13

ASSIST AGENCY WARRANT , 500 Monroe Lane,01-19-13

NARCOTICS  VIOLATION , 22 Elliewood Avenue,01-20-13

TRAFFIC VIOLATION , 15th Street N.W.,01-20-13

DIP , Grady Avenue &amp; 11th Street N.W.,01-20-13

TRESPASSING , UVA Emergency Room,01-20-13

ASSIST AGENCY , 102 14th Street,01-20-13

SUSPICIOUS CIRCUMSTANCE , 35 Hancock Drive,01-20-13

D.I.P, Jefferson Park Ave,01-20-13

FOUND PROPERTY, Lee Street,01-20-13

LARCENY, 160 McCormick Rd   Alderman Library,01-20-13

VANDALISM, UVA Hospital,01-20-13

BURGLARY, 409 McCormick Rd       Chemistry Bldg,01-20-13

LARCENY, 164 McCormick Rd    Clemons Library,01-20-13

FORCIBLE FONDLING , Ruppel Drive,01-20-13

ASSIST CITIZEN , 420 McCormick Rd,01-22-13

ASSIST AGENCY ,1222 JPA,01-22-13

LOST PROPERTY , 1335 Lee Street - Hospital West,01-22-13

LARCENY , 149 Newcomb Road - Newcomb Hall,01-22-13

SUSPICIOUS CIRCUMSTANCES , Watson-Webb House,01-23-13

VANDALISM , 21 Bonnycastle Drive,01-23-13

LARCENY , Alderman Library,01-23-13

LARCENY , 1221 Lee Street,01-23-13

HIT &amp; RUN , 1210 Lee Street,01-23-13

TRESPASS, Stadium Road,01-23-13

DUI, University Avenue,01-23-13

ASSIST MEDICAL, Whitehead Road,01-23-13

DRUG VIOLATION, Lee Street,01-23-13

DIP, University Ave,01-23-13

PROPERTY FOUND/RECOVERED , 85 Engineers Way,01-26-13

SIMPLE ASSAULT , 1215 Lee St,01-26-13

PROPERTY DAMAGE , Maury Hall,01-27-13

DUI , 17th Street NW/Virginia Avenue,01-27-13

LARCENY , Ruffin Hall,01-27-13

ASSIST AGENCY , 1221 Lee Street,01-27-13

DUI , 200 14th Street NW,-1-28-13

AUTOMOBILE ACCIDENT , 11th Street Parking Garage   NO PI,01-28-13

Reported an accident at the,11th street parking garage,01-28-13

LARCENY - 295 Massie Rd , JPJ Arena,01-28-13

ASSIST AGENCY , 1118 John Street,01-28-13

LARCENY , UVA Hospital 4th Floor East,01-28-13

FOUND PROPERTY , 2 East Range,01-28-13

LARCENY , 161 Rugby Road,01-28-13

LARCENY , 1215 Lee Street     UVA Hospital,01-28-13

FORCIBLE FONDLING , Stadium Road,01-29-13

EVIDENCE DESTRUCTION , 2304 Ivy Road,01-29-13

ASSIST CITIZEN MEDICAL , Woody Dorm / 435 Tree House Dr,01-29-13

DRUG VIOLATION , 673 Alderman Road,01-30-13

DRUG VIOLATION , 15 Hancock Road,01-30-13

VANDALISM , 10 East Pavilion,01-30-13

SUSPICIOUS PERSON , 1415 Jefferson Park Avenue,01-30-13

ASSIST CITIZEN/SUSPICIOUS CIRCUMSTANCES , Cobb Hall,01-30-13

ECO , 400 Brandon Avenue,01-30-13

SIMPLE ASSAULT , Scott Stadium Red Garage,01-30-13

MEDICAL ASSIST , Garrett Hall,01-30-13

MEDICAL ASSIST , 210 Emmet Street,01-30-13

ACCIDENT, Alderman Rd                                    NO P.I.,01-30-13

BURGLARY, Lee ST,

DUI , 104 14th Street NW,02-02-13

VANDALISM , New Cabell Hall,02-02-13

SUSPICIOUS CIRCUMSTANCES , 485 McCormick Road,02-02-13

VANDALISM , 201 Sprigg Lane,02-02-13

FIRE ALARM-NO FIRE , UVA Hospital,02-02-13

VANDALISM, Rugby Road,02-02-13

ASSIST AGENCY, UVA Hospital,02-02-13

ASSIST AGENCY, Roosevelt Brown,02-02-13

LARCENY , Chemistry Building,02-04-13

LARCENY , UVA Hospital,02-04-13

ASSIST AGENCY ,- 1222 Jefferson Park Ave,02-05-13

LARCENY ,- 407 Woody House,02-05-13

LOST PROPERTY , Thornton Hall,02-05-13

LARCENY FROM BUILDING , 1001 N Emmet St,02-05-13

TRAFFIC STOP , 1619 University Ave,02-05-13

DUI , JPA/Carrolton Terrace,02-06-13

LOST PROPERTY , 180 McCormick Road,02-06-13

LARCENY , 1540 Jefferson Park Avenue,02-06-13

LOST PROPERTY , 1605 Jefferson Park Ave,02-06-13

ASSIST CITIZEN , 451 Lambeth Commons,02-06-13

ACCIDENT , 1101 Millmont Street Parking Lot,02-06-13

FOUND PROPERTY , 102 Amphitheater Way,02-06-13

B&amp;E , Garret Hall,02-07-13

FOUND PROPERTY , 400 Emmet Street South,02-07-13

SIMPLE ASSAULT , Gooch Dorm,02-07-13

MEDICAL ASSIST , 140 McCormick Road,02-07-13

ASSIST AGENCY , 1215 Lee Street,02-07-13

NARCOTICS VIOLATION , Kent House,02-09-13

ASSIST CITIZEN , Page Dorm,02-09-13

LARCENY , 673 Alderman Road,02-09-13

LARCENY , UVA Hospital,02-09-13

DIP, Rugby RD,02-09-13

DUI , 900 Anderson Street,02-11-13

VANDALISM , A7 Parking Lot,02-11-13

LARCENY , Davenport Field,02-11-13

ASSIST AGENCY , UVA Hospital,02-11-13

LARCENY , University Hall,02-11-13

SUSPICIOUS CIRCUMSTANCES , New Cabell Hall,02-11-13

TRAFFIC ACCIDENT , University Hall East Lot,02-12-13

PROPERTY DAMAGE , 1335 Lee Street,02-12-13

VANDALISM , Ruffner Hall,02-12-13

TRESPASSING , Primary Care Center,02-12-13

B &amp; E , 108 Culbreth Road,02-12-13

LOST PROPERTY , 1605 Jefferson Park Avenue,02-13-13

DUI , 700 Block West Main Street,02-13-13

LARCENY , Bice House,02-13-13

LARCENY , Dunnington Dorm,02-13-13

PROPERTY DAMAGE , 1210 Lee Street,02-15-13

LARCENY , 351 McCormick Road,02-15-13

FOUND PROPERTY , 33 Hospital Drive,02-15-13

LARCENY, UVA Hospital,02-15-13

ASSIST CITIZEN, Gooch,02-15-13

ASSIST AGENCY, Main ST.,02-15-13

HIT &amp; RUN, Scott Stadium West Parking Lot                                       201300175/49,02-15-13

FALSE DRIVER'S LICENSE, Massie RD,02-15-13

DIP, 1215 Lee Street     UVA ER,02-15-13

DRIVING WHILE SUSPENDED, Ivy Road,02-16-13

D.U.I, University Avenue,02-16-13

LOST PROPERTY, McCormick Road,02-16-13

PROPERTY DAMAGE , Hospital Drive,02-18-13

LARCENY , 1215 Lee Street,02-18-13

PROPERTY DAMAGE , 2454 Old Ivy Road,02-18-13

PROPERTY DAMAGE , 575 Alderman Road,02-18-13

PROPERTY LOST , Runk Dining Hall Parking Lot,02-18-13

VEHICLE ACCIDENT , 1101 Millmont Street Parking Lot,02-18-13

LARCENY, Lee St,02-18-13

ABDUCTION, Kellogg Dorm/McCormick Road,02-18-13

MEDICAL ASSIST , McCormick Road,02-18-13

LARCENY, UVA Hospital,02-18-13

VANDALISM, Massie Road,02-18-13

FIRE ALARM-NO FIRE , Ruffin Hall,02-20-13

TRAFFIC ACCIDENT , Lee Street,02-20-13

THREATENING PHONE CALLS , UVA Hospital,02-20-13

ASSIST AGENCY , UVA Hospital,02-20-13

LARCENY, Darden Gatehouse,02-20-13

FOUND PROPERTY , 1015 Massie Rd Field #1,02-21-13

VANDALISM ," 1240 Lee St, 3rd Floor Lobby",02-22-13

DUI , 500 Block West Main Street,02-23-13

LARCENY , Clemons Library,02-23-13

LARCENY , 1215 Lee Street,02-23-13

LARCENY , West Range Café,02-23-13

DRUG VIOLATION , Woody Dorm,02-23-13

DRUG VIOLATION , Bonnycastle Drive,02-23-13

VANDALISM, 1709 University Avenue,02-23-13

SIMPLE ASSUALT, 1210 Lee Street,02-23-13

INDECENT EXPOSURE , 164 McCormick Road,02-25-13

ACCIDENT , Golf Course Drive,02-25-13

ACCIDENT , 1210 Lee Street,02-25-13

COMPUTER HARSSMANT , 1340 Jefferson Park Ave,02-25-13

ACCIDENT , UVA 11th Street Parking Garage,02-25-13

ASSIST CITIZEN ," 90 Geldard Drive, Life Sciences Bldg",02-25-13

FOUND PROPERTY , 395 McCormick Rd.,02-25-13

SUSPICIOUS CIRCUMSTANCES , Emily Couric Center,02-25-13

LOST PROPERTY, Darden Gate House,02-25-13

SUSPICIOUS CIRCUMSTANCES, LeFevre Dorm,02-25-13

ASSIST AGENCY, Emmet Street,02-25-13

LARCENY, Campbell Hall,02-25-13

ASSIST CITIZEN , Rugby Rd,02-25-13

LARCENY , Hospital - McIntire Wing,02-28-13

ASSAULT-SIMPLE , 1400 Jefferson Park Avenue,02-28-13

FRAUD , Housing Office,02-28-13

SUSPICIOUS CIRCUMSTANCES , 11th Street Garage,02-28-13

TRAFFIC ACCIDENT , M16 Parking Lot,02-28-13

ASSAULT-SIMPLE , 1215 Lee Street,02-28-13

DUI , 900 West Main Street,03-01-13

SUSPICIOUS CIRCUMSTANCES , 130 Hospital Drive,03-01-13

VANDALISM , 1240 Lee Street,03-01-13

ASSIST CITIZEN , 407 Massie Road,03-01-13

ASSIST CITIZEN , 211 Emmet Street,03-01-13

DRIVE SUSPENDED , University Avenue &amp; Culbreth Drive,03-02-13

DUI , 2500 Ivy Road,03-02-13

FOUND PROPERTY , 2304 Ivy Road,03-02-13

ASSIST AGENCY , 1215 Lee Street,03-03-13

ASSIST CITIZEN MEDICAL , 200 Rugby Road,03-03-13

ASSIST CITIZEN MEDICAL , University/Hospital Drive,03-03-13

DUI , McCormick / University Ave,03-03-13

PROPERTY FOUND , 1826 University Ave,03-03-13

TRAFFIC ACCIDENT , Page /Emmet parking lot,03-04-13

ASSIST AGENCY , Warrant Service,03-04-13

TRESPASS , Pavilion I,03-05-13

LARCENY , 1200 Lee Street,03-05-13

LARCENY , 1200 Lee Street,03-05-13

FOUND PROPERTY , 5 East UVA Hospital,03-05-13

ACCIDENT , Cabell Drive,03-05-13

PROPERTY DAMAGE, Bice House,03-05-13

PROPERTY DAMAGE, Hancock,03-05-13

ATTEMPTED RAPE , 189 Culbreth Road,03-07-13

PROPERTY DAMAGE , S9 Parking Lot,03-07-13

PROPERTY DAMAGE , S9 Parking Lot,03-07-13

PROPERTY DAMAGE , Dell Lot,03-07-13

ASSIST AGENCY , 1215 Lee Street,03-07-13

SHOTS FIRED , 1560 University Avenue,03-08-13

B &amp; E , Monroe Hall,03-08-13

B &amp; E , Monroe Hall,03-08-13

DUI , 700 West Main Street,03-10-13

ASSIST AGENCY , 1215 Lee Street,03-10-13

FOUND PROPERTY , 295 Massie Road,03-10-13

PROPERTY DAMAGE , 1216 Lee Street   Parking Garage,03-11-13

ASSIST AGENCY , 1215 Lee Street    Medical Center,03-11-13

TRESSPASSING ,1216 Lee Street    Parking Garage,03/12/13

VEHICLE CRASH , Lambeth Service Road,03-12-13

VANDALISM , 432 McCormick Road,03-12-13

HIT &amp; RUN , 1335 Lee Street      M-1 Parking Lot,03-12-13

LARCENY, Stadium Garage,03-12-13

PUBLIC INTOXICATION , 1815 Stadium Road,03-12-13

PROPERTY DAMAGE ,109 Culbreth Rd.,03-13-13

LARCENY , 1215 Lee Street UVA Hospital,03-13-13

PROPERTY DAMAGE , 575 Alderman Road Facilities Management,03-13-13

FORCIBLE FONDLING , UVA Hospital,03-13-13

SUSPICIOUS CIRCUMSTANCES , 1826 University Avenue,03-13-13

PROPERTY DAMAGE , 5775 Alderman Road,03-13-13

LARCENY, 290 Massie Road,3-130-13

SUSPICIOUS CIRCUSTANCES , Clark Hall,03-13-13

DRUG VIOLATION, Stadium Road,03-13-13

TRESPASS , 1215 Lee Street,03-15-13

HIT &amp; RUN ,,03-15-13

ASSIST CITIZEN ECO , 1215 Lee Street,03-15-13

MOTOR VEHICLE THEFT , Faulkner Way,03-17-13

TRESPASSING , 1210 Lee Street,03-18-13

ASSIST CITIZEN , Dunnington Dorm,03-18-13

LIQUIOR LAW VIOLATION , 1210 Lee Street,03-19-13

ATTEMPTED RAPE , 1215 Lee Street       UVA Hospital,03-19-13

TRAFFICE ACCIDENT , 109 Culbreth Road,03-19-13

B &amp; E , 248 McCormick Road      Monroe Hall,03-19-13

BLACKMAIL , Weedon House,03-20-13

FIRES NOT ARSON , 380 Crispell Dr South Parking Garage,03-20-13

ACCIDENT , 600 Alderman Road,03-20-13

mEDICAL aSSIST , 695 Alderman Road,03-20-13

LARCENY , 295 Massie Road,03-20-13

B &amp; E , 351 McCormick Road,03-20-13

LARCENY, 490 McCormick Road,03-21-13

VEHICLE ACCIDENT, Univ. Hall              NO PI,03-21-13

DIP , Massie Rd,03-21-13

DIP , Massie Rd,03-21-13

DIP , John Paul Jones Arena,03-21-13

SIMPLE ASSAULT, Massie Rd                                                       201300315/51,03-21-13

TRESPASSING, Massie Rd                                                          201300317/49,03-21-13

MEDICAL ASSIST , 435 Tree House Drive,03-24-13

SUSPICIOUS CIRCUMSTANCE , 295 Massie Road,03-24-13

ASSIST CITIZEN , 1215 Lee Street,03-24-13

LARCENY , 525 McCormick Road,03-25-13

B &amp; E , Rouss Hall,03-25-13

SAFE KEEPING , 1215 Lee Street,03-26-13

BREAKING &amp; ENTERING , 248 McCormick Road,03-26-13

TRAFFIC ACCIDENT , Copeley Road &amp; Massie Road,03-26-13

BREAKING &amp; ENTERING , Hospital West Complex,03-26-13

LARCENY , 432 McCormick Road,03-26-13

ATTEMPTED B&amp;E , Hospital West Complex,03-26-13

SUSPICIOUS CIRCUMSTANCES , 1001 North Emmet Street,03-26-13

SUSPICIOUS CIRCUMSTANCES , 11th Street Garage,03-26-13

MEDICAL ASSIST , 1702 University Ave.   Brooks Hall,03-27-13

B &amp; E , 102 Amphitheater Way,03-27-13

BREAKING &amp; ENTERING , Minor Hall,03-28-13

LARCENY FROM VEHICLE , Lee Street Parking Garage,03-28-13

